holiday_date,description,location
2026-02-17,,
2026-03-20,,
2026-04-02,,
2026-04-03,,
2026-04-04,,
2026-04-09,,
2026-04-19,,DXC Bangalore
2026-04-14,,DXC Chennai
2026-04-23,,DXC Chennai
2026-05-01,,
2026-05-01,,DXC India
2026-06-12,,
2026-08-21,,
2026-08-31,,
2026-11-01,,
2026-11-02,,
2026-11-30,,
2026-12-08,,
2026-12-24,,
2026-12-25,,
2026-12-30,,
2026-12-31,,
2026-12-21,*Temp DXC Holiday Shutdown,
2026-12-22,*Temp DXC Holiday Shutdown,
2026-12-23,*Temp DXC Holiday Shutdown,
2026-12-28,*Temp DXC Holiday Shutdown,
2026-12-29,*Temp DXC Holiday Shutdown,
